danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,Expected Popularity
0.226962731,1.040481886,-1.204772208,0.729921432,0.873867054,-0.689942548,-0.81139137,0.122296664,0.881884222,-0.935119542,1
0.137408482,-1.083748315,-0.096864152,0.322686358,0.873867054,-0.259747711,-0.131261955,-0.362960812,-0.639321945,-0.395800515,1
-0.083032746,-0.635668507,0.734066889,-0.032089037,-1.144338828,-0.672222852,-0.736018687,-0.362960812,-0.702568282,0.109002095,1
-1.405680116,-2.654793567,-0.373841166,-2.331571644,0.873867054,-0.78149431,1.670904141,-0.362943805,-0.90614243,-1.791558157,0
-0.103699111,-0.928856529,-1.204772208,-0.333732193,0.873867054,-0.544247272,-0.695671685,-0.362960812,-0.590569561,-1.116330735,1
-0.441249742,1.151118875,0.734066889,0.909494949,0.873867054,0.479557376,-0.741846587,1.772172082,0.11106949,-1.461494913,1
1.287836143,-0.099079107,-0.096864152,1.167421706,-1.144338828,-0.330626494,0.541188081,-0.361310937,-0.027281872,1.122921867,1
-1.591677403,0.819207907,-1.204772208,1.073935867,-1.144338828,-0.518652155,-0.726604386,-0.362960812,1.534112073,-1.987870283,1
-0.248363667,-0.608009259,-1.204772208,-1.144839541,-1.144338828,-0.716522092,-0.760675188,-0.362960812,-0.481864919,-0.253420291,1
-0.916576141,0.199640765,0.734066889,0.244333119,-1.144338828,-0.540309561,-0.80245675,-0.362726964,-0.040458192,-0.96963596,1
0.722955495,-0.292693839,1.011043903,0.104440641,0.873867054,2.094018551,0.263242066,-0.362960812,-0.634710233,0.160776722,1
-1.440124058,-0.143333903,0.457089875,-0.838488466,-1.144338828,-0.754914766,-0.719431586,3.075435018,-0.704544731,-0.305194918,1
0.337183345,0.232831862,-0.096864152,0.598772234,0.873867054,-0.114052434,-0.503350974,0.348750153,4.057377392,0.738926719,1
1.205170682,-0.823751389,0.180112862,-2.009079129,0.873867054,-0.62103262,0.088405057,-0.362318424,2.924213855,1.800306565,1
-0.055477593,-1.393531885,1.288020917,-0.653198188,-1.144338828,-0.749008201,3.477553237,4.092164968,-0.481864919,-0.451889693,1
1.515166159,-0.154397602,-1.204772208,0.20397952,0.873867054,-0.526527576,1.007420106,-0.362797673,0.288949813,-1.586616927,1
-1.584788614,1.145587026,1.564997931,1.025175268,0.873867054,-0.56492025,-0.292649963,-0.362879936,-0.455512279,0.380818885,1
0.158074847,0.935376746,1.011043903,0.071485201,0.873867054,-0.658440867,-0.055050951,-0.362960812,0.420713015,-0.801368423,1
0.261406673,1.007290789,0.457089875,0.87788463,0.873867054,-0.002812121,-0.315064964,-0.362960812,0.275773493,0.622433809,1
0.151186059,0.111131173,0.734066889,0.032813002,0.873867054,-0.56492025,-0.711362185,0.422694149,0.335066934,1.601837163,1
1.032950972,0.608997626,1.564997931,0.86308831,0.873867054,0.184229112,1.886088153,-0.323539419,-0.343513557,0.842475972,2
-0.985464025,-0.259502742,-1.204772208,-0.709693227,0.873867054,1.651026156,0.070473056,-0.362854517,-0.608357593,-0.922175885,2
