danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,edm,latin,pop,r&b,rap,rock,predicted_value
0.491,0.883,4.0,-4.986,0.0,0.0306,0.000736,3.19e-05,0.369,0.518,131.75,281853.0,0,0,0,0,0,1,0.0
0.445,0.966,2.0,-3.751,1.0,0.054,0.0149,0.000915,0.164,0.321,109.482,215867.0,0,0,0,0,0,1,0.0
0.601,0.887,9.0,-2.52,1.0,0.0629,0.0232,4.67e-05,0.148,0.527,128.09,187969.0,1,0,0,0,0,0,0.0
0.746,0.846,9.0,-2.432,1.0,0.048,0.0485,0.0,0.195,0.403,114.955,174933.0,0,1,0,0,0,0,1.0
0.564,0.262,0.0,-19.746,1.0,0.105,0.652,0.000204,0.0896,0.376,104.5,253960.0,0,0,0,0,0,1,1.0
0.618,0.823,7.0,-4.76,1.0,0.0447,0.0132,0.0,0.288,0.58,82.004,171880.0,0,0,0,1,0,0,0.0
0.744,0.851,10.0,-10.108,0.0,0.049,0.0267,0.00738,0.0989,0.626,105.882,293600.0,0,0,0,1,0,0,0.0
0.868,0.493,1.0,-10.155,0.0,0.0695,0.0876,0.000618,0.0541,0.652,108.016,182373.0,0,0,1,0,0,0,0.0
0.594,0.541,5.0,-7.446,1.0,0.028,0.515,0.721,0.0763,0.625,72.97,273987.0,0,0,0,0,0,1,0.0
0.61,0.665,7.0,-6.926,1.0,0.0314,0.238,0.00785,0.0928,0.549,91.976,224773.0,0,0,0,1,0,0,0.0
0.512,0.923,4.0,-4.282,0.0,0.0612,0.0038,0.0369,0.143,0.615,137.33,262973.0,0,0,0,0,0,1,0.0
0.704,0.687,8.0,-10.302,1.0,0.133,0.473,0.0,0.0784,0.645,111.932,316960.0,0,1,0,0,0,0,0.0
0.519,0.592,3.0,-5.45,0.0,0.0519,0.0236,0.0,0.146,0.244,81.996,236987.0,0,0,0,1,0,0,1.0
0.662,0.814,1.0,-3.811,1.0,0.0891,0.0966,1.22e-06,0.216,0.745,128.925,286121.0,0,0,0,0,0,1,0.0
0.774,0.626,3.0,-4.432,0.0,0.0432,0.0969,3.12e-05,0.0848,0.777,100.041,211475.0,0,0,1,0,0,0,1.0
0.667,0.673,0.0,-7.574,1.0,0.323,0.0641,4e-06,0.0975,0.669,144.256,201964.0,0,0,0,0,1,0,0.0
0.548,0.593,9.0,-9.446,1.0,0.0526,0.0132,0.000294,0.159,0.563,121.31,309453.0,0,0,0,0,0,1,0.0
0.737,0.699,6.0,-5.804,0.0,0.15,0.222,1.52e-05,0.0785,0.42,135.998,325265.0,0,1,0,0,0,0,0.0
0.609,0.726,5.0,-4.346,0.0,0.0414,0.0723,8.45e-06,0.0895,0.362,93.958,195000.0,0,0,1,0,0,0,1.0
0.605,0.69,3.0,-11.003,0.0,0.0295,0.198,0.00132,0.291,0.694,112.005,266867.0,0,0,1,0,0,0,1.0
0.677,0.482,7.0,-9.875,0.0,0.0535,0.202,0.000188,0.104,0.312,112.018,248306.0,0,0,0,0,0,1,0.0
0.838,0.746,10.0,-5.889,1.0,0.134,0.134,3.23e-06,0.119,0.622,100.966,190908.0,0,1,0,0,0,0,0.0
0.676,0.861,1.0,-3.645,1.0,0.0501,0.0512,0.0,0.0613,0.681,124.031,174120.0,0,0,1,0,0,0,1.0
0.217,0.92,8.0,-4.479,1.0,0.0628,2.86e-05,0.0,0.102,0.376,167.169,246040.0,0,0,0,0,0,1,0.0
0.612,0.845,11.0,-5.565,0.0,0.0352,0.00224,0.00168,0.582,0.769,139.514,249107.0,0,0,0,0,0,1,0.0
0.736,0.933,9.0,-5.437,0.0,0.0541,0.012,0.000226,0.0582,0.726,123.986,383374.0,1,0,0,0,0,0,0.0
0.453,0.906,9.0,-4.001,1.0,0.115,0.361,0.000569,0.26,0.473,137.575,296200.0,0,0,0,0,0,1,1.0
0.777,0.696,9.0,-5.123,0.0,0.0464,0.0929,0.0,0.117,0.34,93.019,247067.0,0,1,0,0,0,0,1.0
0.754,0.765,10.0,-5.354,0.0,0.0777,0.38,0.0,0.113,0.53,129.983,195692.0,0,0,0,0,1,0,1.0
0.533,0.637,6.0,-5.571,1.0,0.0323,0.16,1.12e-05,0.369,0.292,140.167,260173.0,0,0,0,0,0,1,1.0
0.684,0.95,1.0,-2.588,0.0,0.0809,0.0207,1.25e-06,0.105,0.436,125.974,156168.0,1,0,0,0,0,0,0.0
0.688,0.835,8.0,-4.162,1.0,0.0911,0.0583,2.87e-06,0.0795,0.88,84.858,230493.0,1,0,0,0,0,0,0.0
0.432,0.874,7.0,-5.558,1.0,0.0462,0.0732,6.14e-06,0.371,0.374,103.85,195195.0,0,1,0,0,0,0,0.0
0.533,0.637,6.0,-5.571,1.0,0.0323,0.16,1.12e-05,0.369,0.292,140.167,260173.0,0,0,0,0,0,1,1.0
0.798,0.549,11.0,-10.072,0.0,0.247,0.0347,0.00458,0.354,0.566,78.908,452836.0,0,0,0,0,1,0,0.0
0.669,0.511,1.0,-5.499,1.0,0.101,0.0508,0.00483,0.0982,0.406,76.016,198413.0,0,0,0,1,0,0,0.0
0.472,0.881,6.0,-6.182,1.0,0.0491,0.0081,0.111,0.366,0.24,127.014,288189.0,1,0,0,0,0,0,0.0
0.718,0.671,0.0,-12.552,0.0,0.109,0.0728,8.79e-06,0.318,0.772,130.844,169169.0,0,1,0,0,0,0,0.0
0.762,0.727,11.0,-6.347,0.0,0.0697,0.0221,0.0,0.175,0.441,104.999,209373.0,0,1,0,0,0,0,0.0
0.562,0.799,1.0,-5.263,1.0,0.0421,0.0444,0.00257,0.334,0.225,116.978,221538.0,0,0,1,0,0,0,0.0
0.584,0.643,2.0,-6.415,1.0,0.0395,0.288,0.0,0.186,0.53,90.036,181844.0,0,0,1,0,0,0,1.0
0.353,0.898,2.0,-5.877,1.0,0.052,2.23e-05,0.105,0.39,0.525,103.293,255733.0,0,0,0,0,0,1,1.0
0.561,0.464,2.0,-10.261,0.0,0.039,0.00628,0.396,0.109,0.215,131.719,149091.0,0,0,0,0,1,0,0.0
0.487,0.497,4.0,-5.776,0.0,0.064,0.124,0.167,0.109,0.195,160.317,246573.0,0,0,0,1,0,0,0.0
0.732,0.722,3.0,-5.757,0.0,0.0315,0.358,0.0,0.106,0.756,142.964,257010.0,0,1,0,0,0,0,1.0
0.569,0.896,8.0,-2.613,0.0,0.217,0.178,0.0,0.684,0.561,175.905,189576.0,0,0,0,0,1,0,0.0
0.673,0.672,5.0,-6.699,0.0,0.0612,0.0119,0.0,0.237,0.62,114.957,155928.0,1,0,0,0,0,0,0.0
0.237,0.698,2.0,-7.698,1.0,0.0465,0.000726,0.199,0.116,0.794,186.093,307360.0,0,0,0,0,0,1,0.0
0.673,0.733,8.0,-9.856,1.0,0.117,0.138,0.701,0.12,0.261,194.05,247423.0,1,0,0,0,0,0,0.0
0.55,0.919,8.0,-3.431,1.0,0.0786,0.137,0.00123,0.0886,0.511,126.065,184373.0,1,0,0,0,0,0,0.0
0.564,0.78,1.0,-5.25,1.0,0.0281,0.00128,0.00162,0.113,0.197,105.969,252838.0,0,0,1,0,0,0,0.0
0.818,0.785,1.0,-6.819,1.0,0.0753,0.117,0.00091,0.0984,0.571,129.957,287413.0,0,1,0,0,0,0,0.0
0.638,0.937,0.0,-1.942,1.0,0.0461,0.194,0.832,0.119,0.153,127.994,296361.0,1,0,0,0,0,0,0.0
0.79,0.853,11.0,-4.564,0.0,0.0665,0.00116,4.23e-05,0.329,0.713,124.998,199874.0,0,0,1,0,0,0,1.0
0.582,0.253,10.0,-11.43,1.0,0.0259,0.827,2.95e-05,0.091,0.294,90.184,277000.0,0,1,0,0,0,0,0.0
0.583,0.732,11.0,-5.728,0.0,0.0457,0.00312,9.86e-06,0.269,0.276,145.992,213428.0,0,0,1,0,0,0,1.0
0.602,0.874,1.0,-5.906,0.0,0.0428,0.00476,0.0192,0.108,0.612,125.017,467585.0,0,0,1,0,0,0,0.0
0.72,0.338,0.0,-15.269,1.0,0.041,0.00891,0.867,0.0919,0.0398,123.006,162936.0,0,0,0,0,1,0,0.0
0.713,0.802,4.0,-7.055,1.0,0.0561,0.0435,0.00377,0.309,0.343,100.001,226739.0,0,0,1,0,0,0,1.0
0.56,0.836,5.0,-4.022,0.0,0.0821,0.2,1.06e-06,0.314,0.38,127.643,199619.0,1,0,0,0,0,0,0.0
0.749,0.461,10.0,-2.961,0.0,0.0416,0.0516,6.24e-06,0.0738,0.42,139.02,204887.0,0,0,0,1,0,0,1.0
0.714,0.795,9.0,-4.621,0.0,0.0354,0.013,2.33e-05,0.0917,0.347,123.002,142439.0,1,0,0,0,0,0,0.0
0.712,0.657,10.0,-5.888,0.0,0.149,0.0577,0.0,0.234,0.437,97.993,249573.0,0,0,0,1,0,0,0.0
0.457,0.948,0.0,-4.318,1.0,0.0555,2.18e-05,0.00225,0.152,0.157,139.022,249507.0,0,0,0,0,0,1,0.0
0.754,0.6,5.0,-4.582,0.0,0.253,0.233,0.0,0.437,0.778,156.932,244533.0,0,0,0,0,1,0,1.0
0.647,0.299,8.0,-11.836,1.0,0.0632,0.605,5.56e-05,0.0685,0.157,120.043,267226.0,0,0,0,1,0,0,1.0
0.663,0.583,9.0,-4.339,0.0,0.179,0.452,2.4e-06,0.0866,0.325,151.971,208421.0,0,0,0,0,1,0,1.0
0.218,0.576,8.0,-6.938,1.0,0.0387,0.0044,0.647,0.184,0.14,185.987,291440.0,0,0,0,0,0,1,0.0
0.634,0.261,3.0,-15.101,1.0,0.162,0.0287,0.828,0.174,0.501,180.159,240667.0,0,1,0,0,0,0,0.0
0.643,0.801,6.0,-4.921,1.0,0.0228,0.0298,0.0,0.0719,0.534,95.988,270333.0,0,0,1,0,0,0,1.0
0.837,0.364,8.0,-11.713,1.0,0.276,0.149,0.0,0.271,0.463,123.984,213594.0,0,0,0,0,1,0,1.0
0.746,0.792,0.0,-8.723,0.0,0.0313,0.162,0.000126,0.0663,0.965,132.042,146077.0,0,1,0,0,0,0,0.0
0.816,0.765,1.0,-6.542,0.0,0.0383,0.0272,2.01e-05,0.0352,0.824,111.747,310493.0,0,0,0,1,0,0,0.0
0.762,0.635,1.0,-7.027,0.0,0.0665,0.952,0.921,0.116,0.802,134.044,184925.0,0,1,0,0,0,0,0.0
0.606,0.941,1.0,-3.203,1.0,0.0895,0.00401,0.136,0.398,0.396,128.018,155645.0,1,0,0,0,0,0,0.0
0.78,0.779,6.0,-3.369,0.0,0.0318,0.246,0.0,0.298,0.903,119.982,242343.0,0,1,0,0,0,0,1.0
0.596,0.657,2.0,-5.834,1.0,0.0915,0.155,0.0,0.0855,0.581,149.929,134938.0,1,0,0,0,0,0,0.0
0.609,0.551,6.0,-7.93,1.0,0.0291,0.0233,0.0,0.234,0.512,127.956,256040.0,0,0,0,1,0,0,0.0
0.74,0.476,9.0,-6.112,1.0,0.0344,0.045,1.01e-05,0.0494,0.511,100.09,230120.0,0,0,0,0,0,1,0.0
0.558,0.364,4.0,-11.258,0.0,0.0265,0.0505,5.02e-06,0.0753,0.17,142.171,388733.0,0,0,0,0,0,1,0.0
0.175,0.356,7.0,-10.809,1.0,0.0351,0.0934,0.491,0.66,0.173,128.706,265893.0,0,0,0,0,0,1,0.0
0.685,0.912,10.0,-3.411,1.0,0.0687,0.0538,0.0,0.392,0.511,99.957,235720.0,0,1,0,0,0,0,1.0
0.721,0.716,10.0,-7.037,0.0,0.0657,0.0334,0.00084,0.237,0.667,104.994,221714.0,0,1,0,0,0,0,1.0
0.786,0.899,11.0,-6.07,0.0,0.0751,0.000147,0.0987,0.11,0.951,130.997,262507.0,0,0,1,0,0,0,0.0
0.577,0.546,11.0,-10.666,0.0,0.146,0.434,0.0,0.107,0.375,95.087,152289.0,1,0,0,0,0,0,0.0
0.421,0.669,4.0,-4.724,1.0,0.127,0.151,0.0,0.635,0.326,175.788,208013.0,0,0,1,0,0,0,1.0
0.681,0.708,5.0,-6.019,0.0,0.0304,0.042,0.14,0.676,0.356,92.993,237581.0,0,1,0,0,0,0,1.0
